scenario,x_m,y_m,worst_mec_radius_m,worst_area_m2,worst_diameter_m,within_5pct,robust_le20
center,730.83636611,-325.38931446,86.11731913392188,3023.761066770303,172.23463826784376,0,0
center,730.83636611,325.38931446,86.11731913392188,3023.761066770292,172.23463826784376,0,0
center,782.51808059,-166.32935265,125.14849349416147,3934.9142189942177,250.29698698832294,0,0
center,782.51808059,166.32935265,125.14849349544286,3934.9142189942086,250.29698698832294,0,0
center,800.0,0.0,400.0,8552.981814826615,800.0,0,0
center,809.01699437,-587.78525229,55.985902608761684,2265.763645399722,111.97180521752337,1,0
center,809.01699437,587.78525229,55.985902608761684,2265.763645399722,111.97180521752337,1,0
center,822.19091188,-366.06297877,70.32816942192095,2406.975936352479,140.6563388438417,0,0
center,822.19091188,366.06297877,70.32816942192095,2406.9759363524754,140.6563388438417,0,0
center,880.33284066,-187.12052174,98.8748959266716,2870.2288840684723,197.74979185334297,0,0
center,880.33284066,187.12052174,98.87489592874802,2870.2288840684632,197.74979185334297,0,0
center,900.0,0.0,449.99999999999994,7069.3012959280795,899.9999999999999,0,0
center,913.54545764,-406.73664308,58.089251434420504,1943.7563850959596,116.17850286884081,1,0
center,913.54545764,406.73664308,58.089251438582565,1943.7563850959668,116.17850286884081,1,0
center,978.14760073,-207.91169082,77.5713116893635,2055.230759913682,155.14262335674007,0,0
center,978.14760073,207.91169082,77.57131167837002,2055.2307599136784,155.14262335674005,0,0
center,1000.0,0.0,499.9999999999999,8727.532464108739,999.9999999999998,0,0
center,629.4223252918434,-607.8260741484034,67.3688756589783,2952.174816700026,134.7377513179564,0,0
center,639.9344889122424,-596.7485650515456,67.23184571797633,2920.2714563235513,134.46369143595246,0,0
center,650.251722288134,-585.48928056094,67.1264987166649,2882.0747352887793,134.2529974333296,0,0
center,660.3708826902869,-574.0516503637134,67.05449552201742,2852.670193056503,134.10899104403464,0,0
center,670.2888877244159,-562.4391584728228,67.01767478807378,2814.7548824953374,134.03534957614755,0,0
center,680.0027162701098,-550.6553421657909,67.01807366047477,2777.1524246157824,134.03614732094934,0,0
center,689.5094094010935,-538.7037909072172,67.05795239209269,2750.6561882675596,134.11590478418518,0,0
center,698.8060712865461,-526.5881452553925,67.13982184108544,2723.4916241207393,134.27964368217087,0,0
center,707.8898700731984,-514.312095753349,67.26647596287978,2698.6613587282263,134.53295192575956,0,0
center,716.7580387479431,-501.879381804686,67.44102875491646,2675.264651927424,134.88205750983292,0,0
center,725.4078759806943,-489.2937905345104,67.66695752116648,2653.386898353001,135.33391504233273,0,0
center,733.8367469472379,-476.5591556358426,67.94815311613165,2633.1229226627365,135.8963062322631,0,0
center,742.042084131825,-463.67935620183596,68.28897878571621,2614.5781471016526,136.57795757143242,0,0
center,750.0213881092626,-450.65831554416746,68.69433896539473,2597.8699436394672,137.38867793078924,0,0
center,757.7722283062618,-437.4999999979591,69.16976051876192,2583.1291924951365,138.3395210375236,0,0
center,765.2922437418146,-424.20841771359375,69.72148872136741,2570.5020919950475,139.44297744273481,0,0
center,772.5791437463711,-410.7876174357935,70.35660139532652,2560.1522627276936,140.71320279065304,0,0
center,647.405820300294,-625.1925334098947,65.17072482756458,2866.783284517145,130.34144965512917,0,0
center,658.2183314527061,-613.7985240531247,64.9956455724086,2826.9073273620743,129.991291144817,0,0
center,668.8303429250537,-602.2175457199282,64.85024821404441,2794.3373485323737,129.70049642808863,0,0
center,679.2386221958413,-590.4531260884931,64.73605741182757,2754.3285526408417,129.47211482365495,0,0
center,689.4399988023757,-578.5088487150036,64.65476319656074,2724.098616003639,129.30952639312125,0,0
center,699.4313653065198,-566.3883519420544,64.60824084977,2684.2522016374405,129.21648169954,0,0
center,709.2096782412476,-554.0953277903766,64.59857371968873,2653.2828422843413,129.19714743937723,0,0
