x_m,y_m,along_m,lateral_m,expected_area_m2,mc_se_m2,no_signal_probability,within_5pct,guaranteed_reception,certificate_margin_m
1550.0000000000002,-1000.0,1550.0000000000002,-1000.0,18264.613,291.731,0.4424862,False,False,-844.5866745696719
1570.0,-1000.0,1570.0,-1000.0,18850.72,294.54214,0.45765233,False,False,-861.4241859393575
1590.0,-1000.0,1590.0,-1000.0,19441.61,297.09256,0.47295654,False,False,-878.3237207680685
1609.9999999999998,-1000.0,1609.9999999999998,-1000.0,20033.785,299.38605,0.48830712,False,False,-895.2836199366045
1630.0,-1000.0,1630.0,-1000.0,20627.994,301.387,0.5037253,False,False,-912.3022773609824
1650.0000000000002,-1000.0,1650.0000000000002,-1000.0,21221.316,303.15732,0.51913416,False,False,-929.3781381574738
1670.0,-1000.0,1670.0,-1000.0,21814.797,304.72324,0.53456223,False,False,-946.5096968677036
1690.0,-1000.0,1690.0,-1000.0,22405.379,305.89505,0.5499301,False,False,-963.6954957426572
1709.9999999999998,-1000.0,1709.9999999999998,-1000.0,22996.246,306.71783,0.565323,False,False,-980.9341230843592
1730.0,-1000.0,1730.0,-1000.0,23584.562,307.16022,0.58066607,False,False,-998.2242116439286
1750.0,-1000.0,1750.0,-1000.0,24168.738,307.16498,0.5959179,False,False,-1015.5644370746377
-250.0,-980.0,-250.0,-980.0,31397.533,234.59361,0.7947938,False,False,-1018.4389627365267
-229.99999999999997,-980.0,-229.99999999999997,-980.0,30884.576,240.44063,0.78132135,False,False,-1001.1259292167306
-210.00000000000003,-980.0,-210.00000000000003,-980.0,30354.986,246.06744,0.7674079,False,False,-983.8634335241275
-190.00000000000003,-980.0,-190.00000000000003,-980.0,29806.123,251.40242,0.75298184,False,False,-966.6528064619735
-170.0,-980.0,-170.0,-980.0,29243.617,256.49023,0.7381945,False,False,-949.4954217579926
-150.0,-980.0,-150.0,-980.0,28654.227,261.06155,0.722684,False,False,-932.3926976021177
-130.0,-980.0,-130.0,-980.0,28043.672,265.17755,0.7066066,False,False,-915.3460982382809
-110.0,-980.0,-110.0,-980.0,27416.33,268.84183,0.6900804,False,False,-898.3571356115325
-90.0,-980.0,-90.0,-980.0,26775.984,272.12442,0.6732094,False,False,-881.4273710717188
-70.0,-980.0,-70.0,-980.0,26120.227,274.95233,0.6559268,False,False,-864.5584171348603
-50.0,-980.0,-50.0,-980.0,25453.867,277.4003,0.638364,False,False,-847.7519393032907
-30.0,-980.0,-30.0,-980.0,24772.373,279.27896,0.620394,False,False,-831.0096579454976
-10.0,-980.0,-10.0,-980.0,24074.367,280.52234,0.60197854,False,False,-814.3333502364732
10.0,-980.0,10.0,-980.0,23356.059,281.00186,0.58301234,False,False,-797.7248521592288
30.0,-980.0,30.0,-980.0,22626.438,280.87073,0.56374246,False,False,-781.1860605679401
50.0,-980.0,50.0,-980.0,21874.629,279.79843,0.54386646,False,False,-764.7189353129735
70.0,-980.0,70.0,-980.0,21100.955,277.788,0.5233938,False,False,-748.3255014278008
90.0,-980.0,90.0,-980.0,20312.688,274.9736,0.502527,False,False,-732.0078513775243
110.0,-980.0,110.0,-980.0,19507.99,271.2263,0.48121244,False,False,-715.7681473684036
130.0,-980.0,130.0,-980.0,18688.37,266.54846,0.45949295,False,False,-699.6086237174195
150.0,-980.0,150.0,-980.0,17855.617,261.0169,0.4374199,False,False,-683.5315892804736
170.0,-980.0,170.0,-980.0,17001.178,254.17168,0.4147527,False,False,-667.5394299373714
190.00000000000003,-980.0,190.00000000000003,-980.0,16128.248,246.02475,0.391577,False,False,-651.6346111311877
210.00000000000003,-980.0,210.00000000000003,-980.0,15242.195,236.75499,0.36804593,False,False,-635.8196804590312
229.99999999999997,-980.0,229.99999999999997,-980.0,14343.894,226.32434,0.34418184,False,False,-620.0972703105526
250.0,-980.0,250.0,-980.0,13426.778,214.30026,0.3198001,False,False,-604.4701005498108
270.0,-980.0,270.0,-980.0,12494.473,200.66669,0.2950021,False,False,-588.9409812352806
290.0,-980.0,290.0,-980.0,11552.072,185.59969,0.26992983,False,False,-573.512815371884
310.0,-980.0,310.0,-980.0,10606.881,169.55351,0.24478717,False,False,-558.1886016879245
330.0,-980.0,330.0,-980.0,9660.699,152.65498,0.21962461,False,False,-542.9714374286992
350.0,-980.0,350.0,-980.0,8696.421,134.4231,0.19397202,False,False,-527.8645211573579
370.0,-980.0,370.0,-980.0,7740.1865,117.50955,0.16856587,False,False,-512.8711555522564
390.0,-980.0,390.0,-980.0,6850.2812,105.15684,0.14500448,False,False,-497.9947501886098
410.0,-980.0,410.0,-980.0,6065.575,95.08528,0.12436959,False,False,-483.23882429069806
430.0,-980.0,430.0,-980.0,5376.204,86.123276,0.10636838,False,False,-468.6070094391721
450.0,-980.0,450.0,-980.0,4773.6553,77.943504,0.09074207,False,False,-454.10305221620575
470.00000000000006,-980.0,470.00000000000006,-980.0,4250.1777,70.402405,0.07726033,False,False,-439.7308167692673
490.0,-980.0,490.0,-980.0,3803.3171,63.358223,0.065838784,False,False,-425.49428727221425
510.00000000000006,-980.0,510.00000000000006,-980.0,3424.1958,56.851505,0.056224234,False,False,-411.3975702601783
530.0,-980.0,530.0,-980.0,3103.2324,51.015892,0.048151787,False,False,-397.4448968123757
550.0,-980.0,550.0,-980.0,2836.4548,45.93743,0.041507892,False,False,-383.64062455450045
570.0,-980.0,570.0,-980.0,2615.31,41.795452,0.036058255,False,False,-369.9892394497792
590.0,-980.0,590.0,-980.0,2435.87,38.75935,0.03169416,False,False,-356.4953573450965
610.0,-980.0,610.0,-980.0,2294.8896,36.98565,0.028325994,False,False,-343.16372523583937
630.0,-980.0,630.0,-980.0,2190.7573,36.564304,0.025910199,False,False,-329.99922221031164
650.0,-980.0,650.0,-980.0,2117.4688,37.44959,0.024285894,False,False,-317.00686003173524
670.0,-980.0,670.0,-980.0,2073.0928,39.484055,0.023400716,False,False,-304.1917833130475
690.0,-980.0,690.0,-980.0,2058.9854,42.39267,0.023288751,False,False,-291.5592692369497
710.0,-980.0,710.0,-980.0,2072.3635,45.96754,0.02387606,False,False,-279.1147267710197
730.0,-980.0,730.0,-980.0,2110.0713,50.042267,0.025079004,False,False,-266.86369532523764
750.0,-980.0,750.0,-980.0,2171.14,54.482822,0.026871746,False,False,-254.81184279705192
770.0,-980.0,770.0,-980.0,2254.4202,59.193848,0.029223965,False,False,-246.31456703353993
789.9999999999999,-980.0,789.9999999999999,-980.0,2356.8914,64.12765,0.032055885,False,False,-258.7692401707313
810.0,-980.0,810.0,-980.0,2475.9128,69.26692,0.03529808,False,False,-271.4165328483031
830.0,-980.0,830.0,-980.0,2611.7688,74.58305,0.038957983,False,False,-284.25075433110027
850.0,-980.0,850.0,-980.0,2763.6548,80.067406,0.04301456,False,False,-297.2663566130126
869.9999999999999,-980.0,869.9999999999999,-980.0,2929.9185,85.72892,0.047424804,False,False,-310.45793522722425
890.0000000000001,-980.0,890.0000000000001,-980.0,3109.4858,91.57414,0.05216103,False,False,-323.8202294873727
910.0,-980.0,910.0,-980.0,3302.3884,97.598206,0.057224337,False,False,-337.3481222179961
930.0,-980.0,930.0,-980.0,3509.3042,103.78968,0.06263278,False,False,-351.0366390294529
950.0,-980.0,950.0,-980.0,3732.7444,110.11712,0.06845232,False,False,-364.8809471891679
969.9999999999999,-980.0,969.9999999999999,-980.0,3971.6074,116.592766,0.07465479,False,False,-378.8763541376724
990.0,-980.0,990.0,-980.0,4227.0938,123.199234,0.081272095,False,False,-393.0183056945089
1010.0,-980.0,1010.0,-980.0,4500.662,129.91565,0.08834297,False,False,-407.302383995707
1030.0,-980.0,1030.0,-980.0,4791.6514,136.74825,0.09585084,False,False,-421.7243052012581
1050.0,-980.0,1050.0,-980.0,5099.681,143.69861,0.103786476,False,False,-436.2799170078233
1070.0,-980.0,1070.0,-980.0,5424.9785,150.75983,0.11215659,False,False,-450.96519599885653
1090.0,-980.0,1090.0,-980.0,5769.449,157.9006,0.121011905,False,False,-465.7762448614046
1110.0,-980.0,1110.0,-980.0,6133.629,165.10817,0.13036731,False,False,-480.7092894960847
1130.0,-980.0,1130.0,-980.0,6515.9014,172.4003,0.14018139,False,False,-495.7606760441324
1150.0,-980.0,1150.0,-980.0,6916.994,179.74782,0.15047419,False,False,-510.9268678529746
1170.0,-980.0,1170.0,-980.0,7336.6943,187.03198,0.16124204,False,False,-526.2044423995104
1190.0,-980.0,1190.0,-980.0,7776.2397,194.32835,0.17251775,False,False,-541.5900881881669
1210.0,-980.0,1210.0,-980.0,8233.479,201.48863,0.1842473,False,False,-557.0806016388491
1230.0,-980.0,1230.0,-980.0,8704.598,208.38925,0.19633307,False,False,-572.6728839781018
1250.0,-980.0,1250.0,-980.0,9191.875,215.156,0.20883489,False,False,-588.3639381451596
1270.0,-980.0,1270.0,-980.0,9692.301,221.80742,0.22167505,False,False,-604.1508657230469
1290.0,-980.0,1290.0,-980.0,10205.574,228.37354,0.23484656,False,False,-620.0308639035244
1310.0,-980.0,1310.0,-980.0,10729.164,234.7247,0.2482852,False,False,-636.0012224934309
1330.0,-980.0,1330.0,-980.0,11259.58,240.77345,0.26190126,False,False,-652.0593209688327
1350.0,-980.0,1350.0,-980.0,11798.252,246.61691,0.2757326,False,False,-668.202625582396
1370.0,-980.0,1370.0,-980.0,12341.449,252.05795,0.28968412,False,False,-684.4286865284621
1390.0,-980.0,1390.0,-980.0,12892.042,257.33685,0.30383047,False,False,-700.7351351694948
1410.0,-980.0,1410.0,-980.0,13451.195,262.5468,0.3182028,False,False,-717.1196813268434
1430.0,-980.0,1430.0,-980.0,14011.656,267.32355,0.33261395,False,False,-733.5801106380982
1450.0,-980.0,1450.0,-980.0,14576.095,271.73007,0.34713483,False,False,-750.114281982751
1470.0,-980.0,1470.0,-980.0,15148.578,275.93356,0.3618724,False,False,-766.7201249773549
1490.0,-980.0,1490.0,-980.0,15728.741,279.94427,0.37681836,False,False,-783.3956375409242
1510.0,-980.0,1510.0,-980.0,16310.396,283.58026,0.3918117,False,False,-800.1388835309347
1530.0,-980.0,1530.0,-980.0,16893.629,287.01376,0.4068548,False,False,-816.9479904499194
1550.0000000000002,-980.0,1550.0000000000002,-980.0,17479.785,290.3041,0.4219839,False,False,-833.8211472223785
1570.0,-980.0,1570.0,-980.0,18071.273,293.46887,0.4372636,False,False,-850.7566020414463
1590.0,-980.0,1590.0,-980.0,18667.785,296.3152,0.45268768,False,False,-867.7526602845466
1609.9999999999998,-980.0,1609.9999999999998,-980.0,19268.03,298.89307,0.46822315,False,False,-884.8076824970765
1630.0,-980.0,1630.0,-980.0,19871.703,301.17633,0.48386306,False,False,-901.9200824430034
1650.0000000000002,-980.0,1650.0000000000002,-980.0,20475.17,303.1758,0.4995122,False,False,-919.0883252211192
1670.0,-980.0,1670.0,-980.0,21080.521,304.8918,0.51522684,False,False,-936.3109254456011
1690.0,-980.0,1690.0,-980.0,21684.664,306.4259,0.53092575,False,False,-953.5864454894235
1709.9999999999998,-980.0,1709.9999999999998,-980.0,22283.406,307.6004,0.54649884,False,False,-970.9134937891109
1730.0,-980.0,1730.0,-980.0,22882.5,308.4323,0.56209975,False,False,-988.2907232092597
1750.0,-980.0,1750.0,-980.0,23478.15,308.87906,0.57762825,False,False,-1005.7168294652164
-250.0,-960.0,-250.0,-960.0,30788.473,245.20442,0.7787705,False,False,-1008.5439258096073
-229.99999999999997,-960.0,-229.99999999999997,-960.0,30250.285,251.06047,0.764629,False,False,-991.1448566584216
-210.00000000000003,-960.0,-210.00000000000003,-960.0,29691.25,256.57324,0.7499315,False,False,-973.7950700333363
-190.00000000000003,-960.0,-190.00000000000003,-960.0,29120.123,261.8014,0.73491406,False,False,-956.4958770154662
-170.0,-960.0,-170.0,-960.0,28523.951,266.51218,0.7192224,False,False,-939.248631575935
-150.0,-960.0,-150.0,-960.0,27904.316,270.7227,0.70290077,False,False,-922.0547321446786
-130.0,-960.0,-130.0,-960.0,27267.023,274.50974,0.68610764,False,False,-904.915623236465
-110.0,-960.0,-110.0,-960.0,26616.191,277.8634,0.6689545,False,False,-887.832797135643
-90.0,-960.0,-90.0,-960.0,25950.967,280.72897,0.65141636,False,False,-870.8077956411241
-70.0,-960.0,-70.0,-960.0,25275.855,283.18198,0.6336169,False,False,-853.8422118730114
-50.0,-960.0,-50.0,-960.0,24586.547,285.0132,0.6154338,False,False,-836.9376921422336
-30.0,-960.0,-30.0,-960.0,23881.346,286.2053,0.59682167,False,False,-820.0959378844432
-10.0,-960.0,-10.0,-960.0,23155.68,286.64642,0.57765496,False,False,-803.3187076593166
10.0,-960.0,10.0,-960.0,22417.541,286.46017,0.5581529,False,False,-786.6078192162613
30.0,-960.0,30.0,-960.0,21659.398,285.34576,0.5381039,False,False,-769.9651516273707
50.0,-960.0,50.0,-960.0,20878.557,283.23718,0.5174335,False,False,-753.392647488268
70.0,-960.0,70.0,-960.0,20082.41,280.34662,0.49635074,False,False,-736.8923151872525
90.0,-960.0,90.0,-960.0,19268.537,276.5171,0.47478545,False,False,-720.4662312429008
110.0,-960.0,110.0,-960.0,18439.889,271.73453,0.4528188,False,False,-704.1165427099661
130.0,-960.0,130.0,-960.0,17597.963,266.06937,0.43049413,False,False,-687.8454696530674
150.0,-960.0,150.0,-960.0,16734.8,259.1506,0.4075894,False,False,-671.6553076872639
170.0,-960.0,170.0,-960.0,15852.012,250.94215,0.384147,False,False,-655.5484305841424
190.00000000000003,-960.0,190.00000000000003,-960.0,14953.646,241.49289,0.36028004,False,False,-639.5272929415459
210.00000000000003,-960.0,210.00000000000003,-960.0,14045.049,230.9701,0.336138,False,False,-623.5944329144672
229.99999999999997,-960.0,229.99999999999997,-960.0,13117.042,218.71904,0.31145877,False,False,-607.7524750039936
250.0,-960.0,250.0,-960.0,12176.092,204.91853,0.2864263,False,False,-592.0041329004405
270.0,-960.0,270.0,-960.0,11221.354,189.47777,0.26101798,False,False,-576.3522123759967
290.0,-960.0,290.0,-960.0,10260.451,172.94713,0.23545119,False,False,-560.7996142212863
310.0,-960.0,310.0,-960.0,9299.913,155.73584,0.20990682,False,False,-545.3493372192361
330.0,-960.0,330.0,-960.0,8320.728,136.83965,0.18385677,False,False,-530.004481148519
350.0,-960.0,350.0,-960.0,7343.0693,118.616516,0.15787488,False,False,-514.7682498075956
370.0,-960.0,370.0,-960.0,6427.329,104.974205,0.1336194,False,False,-499.6439540490209
390.0,-960.0,390.0,-960.0,5620.889,94.012245,0.11241317,False,False,-484.6350148121925
410.0,-960.0,410.0,-960.0,4914.8203,84.327644,0.093990654,False,False,-469.74496614107005
430.0,-960.0,430.0,-960.0,4299.3945,75.52632,0.07805541,False,False,-454.9774581716486
450.0,-960.0,450.0,-960.0,3770.1445,67.366,0.06446077,False,False,-440.33626007201826
470.00000000000006,-960.0,470.00000000000006,-960.0,3320.0178,59.73988,0.052995555,False,False,-425.82526291578404
