x_m,y_m,worst_diameter_m,worst_area_m2,within_5m_of_best
737.2368398551548,516.2187927134809,129.63047766126547,2572.150540027076,0
728.1152949325585,529.0067270606794,129.39868101341295,2597.8917221824886,0
718.7719590377146,541.633520834212,129.25615901395201,2624.959277111724,0
709.2096782412475,554.0953277903768,129.19714743937683,2653.2828422843195,0
699.4313653065195,566.3883519420548,129.21648169954062,2684.252201637424,0
689.4399988023756,578.5088487150039,129.30952639312147,2724.098616003639,0
679.2386221958411,590.4531260884934,129.47211482365495,2754.328552640838,0
792.8797531443448,476.41021928970935,126.16536789357889,2378.697169384308,0
784.4444889396223,490.17531941353496,125.64422615767056,2400.9479149661565,0
775.7702753444842,503.7911073866323,125.23473725276418,2424.761113351011,0
766.8597546084209,517.2534357080855,124.92843872106452,2450.037757066828,0
757.7156409623666,530.5582036222756,124.71782351518247,2476.6892508450474,0
748.3407197919189,543.7013583680097,124.59621636663769,2504.6362033660153,0
738.7378467888833,556.6788964130313,124.55766792003232,2533.807401576021,0
728.9099470814016,569.4868646735362,124.59686523164022,2564.138906541699,0
718.8600143429296,582.1213617183183,124.7090544957847,2599.891521553611,0
708.5911098803355,594.5785389571847,124.88997510542306,2631.012405836671,0
698.1063617013955,606.8546018132732,125.13580243926616,2672.7809355484314,0
814.3089356618859,489.2861711624801,121.0869226582869,2281.050308288155,0
805.6456913435209,503.4233010193843,120.69809984869846,2305.8344691496786,0
796.7370395431075,517.407083262027,120.41276406888375,2332.05300299764,0
787.5856939222842,531.2332582948729,120.2231053644983,2359.6157543261943,0
778.1944420695784,544.8976145310703,120.12220588364006,2388.442202152117,0
768.5661446512793,558.3959896753398,120.1039229919121,2418.4603435349673,0
758.703734540052,571.7242719918506,120.16279016064833,2449.605726479116,0
748.6102159215557,584.8784015566955,120.2939323093618,2481.820616081208,0
738.2886633793396,597.8543714945819,120.49299350609353,2515.0532724220757,0
727.7422209582953,610.6482291993656,120.75607513583165,2555.3530751935486,0
716.97410120695,623.256077538053,121.07968256214392,2597.257136131042,0
835.738118179427,502.16212303525094,116.33524057800015,2190.788572627098,1
826.8468937474195,516.6712826252337,116.07073221368347,2217.9525453577335,1
817.7038037417307,531.0230591374217,115.90191384569768,2246.4290253045874,1
808.3116332361476,545.2130808816604,115.82161239486275,2276.1364281052665,1
798.6732431767902,559.2370254398651,115.82348379933138,2307.0020401611655,1
788.7915695106396,573.09062098267,115.90190317110321,2338.960982460907,1
778.6696222912207,586.76964757067,116.05187185842105,2371.9553171004773,1
768.3104847617097,600.2699384398547,116.2689383979639,2407.6883775831448,1
