trial,policy,scenario,station_x_m,station_y_m,target_x_m,target_y_m,q_x_m,q_y_m,receive_radius_m,move_m,decision_time_ms,safe_certified,safe_margin_m,conditional_worst_mec_radius_m,conditional_worst_diameter_m,conditional_worst_area_m2,conservative_worst_mec_radius_m,detected,near,area_m2,diameter_m,mec_radius_m,contains_truth
9,minimax_mec,global_random,752.3857460118123,-44.39541695563677,374.51584911431706,256.43240973551946,424.1685372016511,900.2068611646072,1049.4419797116404,999.9999999945438,2506.3797500000005,1,5.494939614436589e-09,55.829774410494935,111.65954882098987,2166.8701252163155,55.829774410494935,1,0,455.0475444771291,42.097067390870535,21.048533695435268,1
9,analytic_far_range,global_random,752.3857460118123,-44.39541695563677,374.51584911431706,256.43240973551946,-212.54131243738289,218.12271931799935,1049.4419797116404,1000.0,0.0,1,2.148681232938543e-11,58.99008343727216,117.98016687454431,1923.6607566262828,58.99008343727216,1,0,518.3926195707172,52.01010021057751,26.00505010528878,1
9,fixed_750_375,global_random,752.3857460118123,-44.39541695563677,374.51584911431706,256.43240973551946,-69.95812805282037,119.54223213197068,1049.4419797116404,838.5254915624212,0.0,1,161.47450843759805,76.656572004415,153.31314400883,2755.4214313258417,76.656572004415,1,0,331.1286309467687,35.496665880697016,17.748332940348533,1
10,minimax_mec,global_random,1032.5072365620495,719.7605291267129,-168.320978313471,297.5280595715451,433.6768324608453,-81.11533335952527,1419.5667345855984,999.9999999945437,3065.502999999996,1,5.4963038564892486e-09,55.82514449682741,111.65028899214839,2166.6220750859648,55.82514449682741,1,0,1310.0534237719694,76.83679595116877,38.418397975584384,1
10,analytic_far_range,global_random,1032.5072365620495,719.7605291267129,-168.320978313471,297.5280595715451,299.1769827748434,39.88793894499952,1419.5667345855984,1000.0,0.0,1,4.5133674575481564e-11,58.948758866038574,117.89751773207713,1921.7365533830307,58.948758866038574,1,0,1015.479014387267,74.73109152605754,37.36554576302878,1
10,fixed_750_375,global_random,1032.5072365620495,719.7605291267129,-168.320978313471,297.5280595715451,458.2716929236201,108.71344385236387,1419.5667345855984,838.5254915624212,0.0,1,161.47450843762215,76.6080077465709,153.21601549314175,2776.762501975929,76.6080077465709,1,0,1538.6513527561037,101.96036631521504,50.980183157607534,1
11,minimax_mec,global_random,-453.625366616076,-1339.920136356443,-911.4672853574959,-1185.033940643301,-1011.5131291169429,-510.00372825207035,1444.594277265445,999.9999999945436,2771.074833999997,1,5.505398803506978e-09,28.475054423185437,56.95010884637066,956.7658402216621,28.475054423185437,1,0,451.25331558752805,39.43760738062836,19.718803690314257,1
11,analytic_far_range,global_random,-453.625366616076,-1339.920136356443,-911.4672853574959,-1185.033940643301,-1451.7283717927119,-1401.4862882369082,1444.594277265445,1000.0000000000001,0.0,1,2.1259438653942198e-11,43.55177883039759,87.10355766079518,622.9425803381018,43.55177883039759,1,0,522.6246007471345,53.025557395719304,26.51277869785971,1
11,fixed_750_375,global_random,-453.625366616076,-1339.920136356443,-911.4672853574959,-1185.033940643301,-1285.0250256457348,-1449.0054560166382,1444.594277265445,838.525491562421,0.0,1,161.47450843759714,37.31100875452144,74.62201750904288,955.5866556307301,37.31100875452144,1,0,332.53271021228284,35.91312029545441,17.956560147727206,1
12,minimax_mec,global_random,277.7104158787491,1001.8359558608652,-679.2360477536633,1392.7428224994028,-719.0130077592617,920.9507484989039,1249.8213377871086,999.9999999993323,3216.0758750000014,1,7.136122803785838e-10,41.48017739847386,82.96035479694761,1309.9093900034204,41.48017739847386,1,0,625.681206200039,45.96211984419623,22.98105992209813,1
12,analytic_far_range,global_random,277.7104158787491,1001.8359558608652,-679.2360477536633,1392.7428224994028,-722.2793423114801,997.3100841606192,1249.8213377871086,1000.0000000000001,0.0,1,4.888534022029489e-11,43.55177882869226,87.10355765738447,1199.9559833640233,43.55177882869226,1,0,522.6942487321794,43.70646381746324,21.85323190873172,1
12,fixed_750_375,global_random,277.7104158787491,1001.8359558608652,-679.2360477536633,1392.7428224994028,-558.558370009217,940.358173292954,1249.8213377871086,838.5254915624213,0.0,1,161.4745084376251,56.09003346328907,112.18006692657796,1790.7382067018189,56.09003346328907,1,0,739.6348431117367,59.785464852286594,29.892732426143297,1
13,minimax_mec,global_random,-683.3540372213622,-1664.0815328243284,-1082.4049332127356,-1239.52102245791,-943.0782164685295,-698.3986911454213,1446.8983395640369,999.999999999332,3609.0619999999944,1,7.053131412249058e-10,45.810484204488525,91.62096839611924,1574.4641431686468,45.810484204488525,1,0,468.7736031310633,40.56007202081494,20.28003601040747,1
