layout,noise,n,vertices_count,total,bounded,unbounded,degenerate,failures,failure_rate,source_outside_count,median_vertices,mean_circularity,median_circularity,median_ratio,p95_ratio,max_ratio,failure_over_1pct,polygon_inside_arena_count
local_walk,truncnorm,12,7,453,453,0,0,39,0.08609271523178808,0,7.0,0.5569396352807877,0.5678098131336153,1.0,1.0036173805816508,1.0897018810397308,0.02869757174392936,441
local_walk,truncnorm,12,8,196,196,0,0,26,0.1326530612244898,0,8.0,0.6033685083915817,0.6134925178246664,1.0,1.0073465876744407,1.0646266745098756,0.04081632653061224,190
local_walk,truncnorm,12,9,55,55,0,0,5,0.09090909090909091,0,9.0,0.6538247812787866,0.6978404299067519,1.0,1.003803972341458,1.0221614031258468,0.01818181818181818,50
local_walk,truncnorm,12,10,9,9,0,0,3,0.3333333333333333,0,10.0,0.6449502682217318,0.6212686865070534,1.0,1.0218202220026542,1.0322414333507413,0.1111111111111111,9
local_walk,truncnorm,12,11,3,3,0,0,0,0.0,0,11.0,0.6822673248011815,0.8488643085339465,1.0,1.0000000000000002,1.0000000000000002,0.0,3
local_walk,truncnorm,20,3,14,14,0,0,6,0.42857142857142855,0,3.0,0.46577107264022277,0.5182694368192549,1.0,1.0457515311885592,1.052643200353042,0.35714285714285715,14
local_walk,truncnorm,20,4,298,298,0,0,40,0.1342281879194631,0,4.0,0.568434031143052,0.5947967249431005,1.0,1.0119233590440877,1.1015722378240502,0.06711409395973154,295
local_walk,truncnorm,20,5,616,616,0,0,137,0.2224025974025974,0,5.0,0.6090423372585045,0.6274148477273582,1.0,1.0230109108932406,1.0728054539605365,0.09415584415584416,608
local_walk,truncnorm,20,6,723,723,0,0,142,0.19640387275242047,0,6.0,0.6352413669344777,0.6670717125512462,1.0,1.0176574963809117,1.089463360636996,0.07607192254495158,714
local_walk,truncnorm,20,7,492,492,0,0,119,0.241869918699187,0,7.0,0.6632752919687529,0.6921027854129569,1.0,1.0220894908927685,1.1151553557637215,0.09349593495934959,486
local_walk,truncnorm,20,8,244,244,0,0,59,0.24180327868852458,0,8.0,0.6925235133049932,0.7226973908654923,1.0,1.0173467239420693,1.082776487025657,0.0778688524590164,242
local_walk,truncnorm,20,9,91,91,0,0,18,0.1978021978021978,0,9.0,0.6946586295838815,0.7301762125483774,1.0,1.0063013145900244,1.0334210751374446,0.04395604395604396,87
local_walk,truncnorm,20,10,10,10,0,0,2,0.2,0,10.0,0.7584193039279941,0.7608288962503409,1.0,1.0127715456933735,1.0130995971269237,0.2,9
local_walk,truncnorm,20,11,12,12,0,0,3,0.25,0,11.0,0.7492732451214729,0.8212638445107165,1.0,1.0138242198789575,1.0211766170571561,0.08333333333333333,12
local_walk,truncnorm,32,3,19,19,0,0,9,0.47368421052631576,0,3.0,0.5079214149011999,0.53691081879073,1.0000000000000002,1.0636634833753196,1.0789785121681965,0.42105263157894735,19
local_walk,truncnorm,32,4,277,277,0,0,76,0.2743682310469314,0,4.0,0.6084867835022831,0.6397151605595472,1.0,1.0361115513476462,1.1032167122553942,0.11913357400722022,274
local_walk,truncnorm,32,5,595,595,0,0,197,0.3310924369747899,0,5.0,0.6538779324098188,0.6818744429651383,1.0,1.0332961973361816,1.118116144453926,0.16134453781512606,587
local_walk,truncnorm,32,6,730,730,0,0,249,0.3410958904109589,0,6.0,0.6888826025231329,0.7102051595805488,1.0,1.0298558128403912,1.0823252961760075,0.14657534246575343,725
local_walk,truncnorm,32,7,495,495,0,0,179,0.3616161616161616,0,7.0,0.7331766075853635,0.7580517537497619,1.0,1.0320617714073,1.1134085171545052,0.1696969696969697,487
local_walk,truncnorm,32,8,250,250,0,0,90,0.36,0,8.0,0.7456825529027185,0.766556855933403,1.0000000000000002,1.0417345219110274,1.0860668220427612,0.132,249
local_walk,truncnorm,32,9,101,101,0,0,38,0.37623762376237624,0,9.0,0.7636946059470938,0.7890477422836844,1.0000000000000002,1.0214134776636075,1.0543925863141648,0.06930693069306931,101
local_walk,truncnorm,32,10,21,21,0,0,11,0.5238095238095238,0,10.0,0.8069486238131511,0.8068098151503481,1.000003788138807,1.0170256543481762,1.021566652973408,0.19047619047619047,21
local_walk,truncnorm,32,11,12,12,0,0,6,0.5,0,11.0,0.8236159406160386,0.8360147734902984,1.0012552618085249,1.028764972453275,1.0429148835802267,0.25,12
local_walk,uniform,2,3,1,1,0,0,0,0.0,0,3.0,0.0017657819411192426,0.0017657819411192426,1.0,1.0,1.0,0.0,0
