x_m,y_m,worst_mec_radius_m
1550.0,-450.0,21.82794262115587
1575.0,-450.0,20.976562028973973
1600.0,-450.0,21.31933421534826
1625.0,-450.0,22.458770023460993
1650.0,-450.0,23.64333694422766
1675.0,-450.0,24.87290710196408
1700.0,-450.0,26.147352971549765
1725.0,-450.0,27.466547594947905
1750.0,-450.0,28.830364469915356
1775.0,-450.0,30.238677550607438
1800.0,-450.0,31.691361314866633
1825.0,-450.0,33.18829071339775
1850.0,-450.0,34.72934104257894
1875.0,-450.0,36.31438828324418
925.0,-425.0,60.702461089716394
950.0,-425.0,58.64100803060417
975.0,-425.0,56.616636979642806
1000.0,-425.0,54.62986720732052
1025.0,-425.0,52.68124210203411
1050.0,-425.0,50.77133108599426
1075.0,-425.0,48.900731865215235
1100.0,-425.0,47.070072530398924
1125.0,-425.0,45.28001402247339
1150.0,-425.0,43.53125273826016
1175.0,-425.0,41.82452285864028
1200.0,-425.0,40.16059916489184
1225.0,-425.0,38.54029946087684
1250.0,-425.0,36.96448700703653
1275.0,-425.0,35.434072520472306
1300.0,-425.0,33.95001575286595
1325.0,-425.0,32.51332631969429
1350.0,-425.0,31.12506319583643
1375.0,-425.0,29.78633296067678
1400.0,-425.0,28.498285783183785
1425.0,-425.0,27.262108551726207
1450.0,-425.0,26.079014745386136
1475.0,-425.0,24.95022966823906
1500.0,-425.0,23.876970442690677
1525.0,-425.0,22.860419734558448
1550.0,-425.0,21.90169222146843
1575.0,-425.0,21.001793531552018
1600.0,-425.0,21.666570325474073
1625.0,-425.0,22.87100671554681
1650.0,-425.0,24.123029992652917
1675.0,-425.0,25.422497501607015
1700.0,-425.0,26.769267198006567
1725.0,-425.0,28.163197584284568
1750.0,-425.0,29.60414774802756
1775.0,-425.0,31.091977289993554
1800.0,-425.0,32.6265464546508
1825.0,-425.0,34.207715939670365
1850.0,-425.0,35.8353470302735
1875.0,-425.0,37.509301648336645
1900.0,-425.0,39.229442101390106
900.0,-400.0,65.29027338550968
925.0,-400.0,63.08083169602555
950.0,-400.0,60.90915006082923
975.0,-400.0,58.77575596908653
1000.0,-400.0,56.681201055945515
1025.0,-400.0,54.62606320699304
1050.0,-400.0,52.6109488656085
1075.0,-400.0,50.636495594398504
1100.0,-400.0,48.70337477960753
1125.0,-400.0,46.812294704454295
1150.0,-400.0,44.964003502804715
1175.0,-400.0,43.15929281228757
1200.0,-400.0,41.399001079905496
1225.0,-400.0,39.68401737573158
1250.0,-400.0,38.015284924437594
1275.0,-400.0,36.39380464137996
1300.0,-400.0,34.820638415105016
1325.0,-400.0,33.29691170462611
1350.0,-400.0,31.823815233378955
1375.0,-400.0,30.402605311208404
1400.0,-400.0,29.034602075768174
1425.0,-400.0,27.721184965129623
1450.0,-400.0,26.463784363685722
1475.0,-400.0,25.26386835366031
1500.0,-400.0,24.122923123042995
1525.0,-400.0,23.04242575500659
1550.0,-400.0,22.02380781472132
1575.0,-400.0,21.06840863314198
1600.0,-400.0,22.10925075730138
1625.0,-400.0,23.38649571445842
1650.0,-400.0,24.714065252296603
1675.0,-400.0,26.091799309461862
1700.0,-400.0,27.519538627003502
1725.0,-400.0,28.99712452346025
1750.0,-400.0,30.52439906327748
1775.0,-400.0,32.10120491871698
1800.0,-400.0,33.72738544025722
1825.0,-400.0,35.40278472240787
1850.0,-400.0,37.12724731616895
1875.0,-400.0,38.900618715836444
1900.0,-400.0,40.72274475399165
900.0,-375.0,68.11986134410174
925.0,-375.0,65.78722062295058
950.0,-375.0,63.493566009949895
975.0,-375.0,61.239457435558144
1000.0,-375.0,59.0254807857936
1025.0,-375.0,56.85225028056402
1050.0,-375.0,54.7204111768068
1075.0,-375.0,52.630642693900654
1100.0,-375.0,50.58366126467026
1125.0,-375.0,48.580224093188015
1150.0,-375.0,46.62113312894074
1175.0,-375.0,44.70723921769613
1200.0,-375.0,42.839446729692156
1225.0,-375.0,41.01871842400741
1250.0,-375.0,39.246080551724916
1275.0,-375.0,37.52262813960482
1300.0,-375.0,35.84953014367149
1325.0,-375.0,34.22803444982179
1350.0,-375.0,32.659472228915746
1375.0,-375.0,31.14526115110362
1400.0,-375.0,29.686906837447836
1425.0,-375.0,28.28600165374108
1450.0,-375.0,26.94421966489356
1475.0,-375.0,25.66330625997315
1500.0,-375.0,24.445060724677138
1525.0,-375.0,23.291309651521697
1550.0,-375.0,22.20386897031539
1575.0,-375.0,21.36016472750494
1600.0,-375.0,22.665945707475828
1625.0,-375.0,24.02530372492954
1650.0,-375.0,25.438057236235405
1675.0,-375.0,26.904025497101923
1700.0,-375.0,28.42302863144021
1725.0,-375.0,29.994887529021256
1750.0,-375.0,31.619423850241176
1775.0,-375.0,33.29646017438416
1800.0,-375.0,35.025819756595745
1825.0,-375.0,36.80732668819742
1850.0,-375.0,38.64080585970138
1875.0,-375.0,40.52608291962019
1900.0,-375.0,42.46298432729511
1925.0,-375.0,44.451337352044845
875.0,-350.0,73.86104915341983
900.0,-350.0,71.3517957414975
925.0,-350.0,68.8822352024329
950.0,-350.0,66.45293708518872
975.0,-350.0,64.06449613824275
1000.0,-350.0,61.71753471978568
1025.0,-350.0,59.41270566726137
1050.0,-350.0,57.15069515346443
1075.0,-350.0,54.93222610694808
1100.0,-350.0,52.75806203293495
1125.0,-350.0,50.629011013617955
1150.0,-350.0,48.545930592286254
1175.0,-350.0,46.50973278787027
1200.0,-350.0,44.52138983933303
1225.0,-350.0,42.58194038825103
1250.0,-350.0,40.69249628019237
1275.0,-350.0,38.85424972060325
1300.0,-350.0,37.06848087998507
1325.0,-350.0,35.33656556652508
1350.0,-350.0,33.6599829118367
1375.0,-350.0,32.040322386610676
1400.0,-350.0,30.479289436565516
1425.0,-350.0,28.978709135056484
1450.0,-350.0,27.540526001236557
1475.0,-350.0,26.16679873378097
1500.0,-350.0,24.859687214834423
1525.0,-350.0,23.621429173579397
1550.0,-350.0,22.454303084582776
