x_m,y_m,worst_mec_radius_m
725.0,-375.0,79.24650472339152
750.0,-375.0,76.63214529476727
775.0,-375.0,74.0605620304286
800.0,-375.0,71.53283001141997
825.0,-375.0,69.05010451312445
850.0,-375.0,66.61362929387609
875.0,-375.0,64.22474583779096
900.0,-375.0,61.884903360899116
925.0,-375.0,59.59566966670448
75.0,-350.0,167.83316039749394
100.0,-350.0,164.161906404759
125.0,-350.0,160.51942755470245
150.0,-350.0,156.9060571242821
175.0,-350.0,153.32213756389308
200.0,-350.0,149.76802157900883
225.0,-350.0,146.24407260543188
250.0,-350.0,142.75066530552405
275.0,-350.0,139.28818681491748
300.0,-350.0,135.85703721245142
325.0,-350.0,132.45763075871707
350.0,-350.0,129.09039685886242
375.0,-350.0,125.75578123715808
400.0,-350.0,122.45424723396125
425.0,-350.0,119.18627727036412
450.0,-350.0,115.95237452414094
475.0,-350.0,112.75306459505465
500.0,-350.0,109.58889749161932
525.0,-350.0,106.46044991195667
550.0,-350.0,103.36832780260865
575.0,-350.0,100.31316873219647
600.0,-350.0,97.29564549894087
625.0,-350.0,94.31646909644093
650.0,-350.0,91.37639283460938
675.0,-350.0,88.4762167330567
700.0,-350.0,85.61679206563716
725.0,-350.0,82.79902715416031
750.0,-350.0,80.0238933473688
775.0,-350.0,77.29243179077324
800.0,-350.0,74.60576137386022
825.0,-350.0,71.96508712984723
850.0,-350.0,69.37171005911823
875.0,-350.0,66.82703790325654
900.0,-350.0,64.33259700027828
925.0,-350.0,61.8900456942785
75.0,-325.0,176.79419375272084
100.0,-325.0,172.9295239387573
125.0,-325.0,169.0939561356079
150.0,-325.0,165.28783769677617
175.0,-325.0,161.51152545691997
200.0,-325.0,157.7653868963718
225.0,-325.0,154.04980009016876
250.0,-325.0,150.36515496328772
275.0,-325.0,146.7118537831596
300.0,-325.0,143.09031228445085
325.0,-325.0,139.5009606364657
350.0,-325.0,135.94424416686294
375.0,-325.0,132.4206251299464
400.0,-325.0,128.93058349342047
425.0,-325.0,125.47461875279747
450.0,-325.0,122.05325154091842
475.0,-325.0,118.6670252737637
500.0,-325.0,115.31650840968503
525.0,-325.0,112.00229662041349
550.0,-325.0,108.72501535912879
575.0,-325.0,105.48532275852678
600.0,-325.0,102.28391281808926
625.0,-325.0,99.12151904497671
650.0,-325.0,95.99891866564265
675.0,-325.0,92.91693708498602
700.0,-325.0,89.8764530363538
725.0,-325.0,86.87840482106346
750.0,-325.0,83.92379656548356
775.0,-325.0,81.0137060776575
800.0,-325.0,78.14929333446631
825.0,-325.0,75.33181006067531
850.0,-325.0,72.56261091823637
875.0,-325.0,69.84316570950634
900.0,-325.0,67.17507356575608
925.0,-325.0,64.56007858991003
75.0,-300.0,186.9390323538889
100.0,-300.0,182.86085872550194
125.0,-300.0,178.81202846604077
150.0,-300.0,174.79290420891783
175.0,-300.0,170.80385834514885
200.0,-300.0,166.84527383606004
225.0,-300.0,162.91754482592503
250.0,-300.0,159.02107728523748
275.0,-300.0,155.15629008968935
300.0,-300.0,151.32361549222713
325.0,-300.0,147.52350054188105
350.0,-300.0,143.7564078593217
